constellation,environment,elevation_deg,cn0_dbhz,num_satellites,pdop,position_error_m,multipath_index
BeiDou,Open Sky,38.45,42.58,9,1.592,1.2075,0.0885
GLONASS,Open Sky,13.97,53.84,10,1.506,2.7436,0.0125
GPS,Urban Canyon,30.17,34.05,6,4.525,6.9717,0.8
Galileo,Urban Canyon,31.28,39.35,8,3.811,3.5938,0.5496
GLONASS,Open Sky,85.0,41.73,10,2.005,1.4468,0.0261
GPS,Urban Canyon,21.59,30.76,9,3.469,3.2826,0.9028
Galileo,Urban Canyon,32.96,27.35,5,5.938,5.314,0.3166
BeiDou,Open Sky,32.6,44.84,12,1.677,3.1389,0.0787
GPS,Open Sky,25.53,41.97,9,1.422,0.2466,0.0646
Galileo,Urban Canyon,17.27,38.48,5,2.478,2.5996,0.5605
Galileo,Urban Canyon,34.37,28.61,10,2.34,4.2212,0.6649
GPS,Open Sky,64.64,50.32,14,1.638,2.3821,0.1785
BeiDou,Urban Canyon,48.88,36.31,7,4.021,4.2739,0.4814
GLONASS,Open Sky,47.53,44.61,9,1.088,1.4366,0.2924
GPS,Urban Canyon,20.66,38.89,6,8.0,5.5726,0.6917
BeiDou,Urban Canyon,36.75,36.85,5,2.496,5.1059,0.6193
BeiDou,Urban Canyon,15.27,44.26,9,3.199,4.3176,0.5741
GPS,Open Sky,44.51,40.86,11,2.363,1.4023,0.356
BeiDou,Open Sky,46.52,30.68,12,1.558,2.0688,0.1713
GPS,Open Sky,43.82,41.08,13,2.164,0.1,0.1354
BeiDou,Open Sky,69.14,33.93,11,1.312,0.8162,0.0606
GLONASS,Urban Canyon,21.3,35.0,6,2.802,4.7035,0.9014
GLONASS,Open Sky,38.01,46.57,16,2.138,1.3191,0.1153
GPS,Open Sky,64.07,42.49,11,1.0,0.1,0.1439
BeiDou,Open Sky,15.5,41.01,13,2.161,2.1302,0.08
GPS,Open Sky,29.34,40.53,14,2.836,1.7044,0.0758
GPS,Open Sky,52.64,41.76,11,2.463,1.243,0.0609
GPS,Urban Canyon,22.34,42.97,6,3.391,4.4903,0.324
GLONASS,Urban Canyon,39.81,38.66,9,4.877,6.381,0.8964
GPS,Open Sky,54.3,47.13,15,2.861,1.6053,0.1434
BeiDou,Urban Canyon,39.22,37.36,7,3.558,5.3154,0.1501
GLONASS,Urban Canyon,34.35,35.84,7,6.295,6.8646,0.7092
GPS,Open Sky,52.58,40.56,10,1.792,2.3614,0.346
GPS,Urban Canyon,47.43,37.74,10,2.157,3.4008,0.4374
GPS,Open Sky,44.41,40.65,13,2.304,1.7254,0.1725
GLONASS,Open Sky,61.49,45.81,12,1.416,2.7837,0.0405
BeiDou,Open Sky,24.47,43.7,12,1.512,2.3735,0.3117
GPS,Open Sky,14.35,35.17,12,1.424,1.8628,0.0849
BeiDou,Urban Canyon,22.74,32.06,8,8.0,7.8643,0.5176
GPS,Urban Canyon,31.14,34.84,8,4.296,3.4339,0.7656
BeiDou,Urban Canyon,35.78,28.82,7,4.686,5.5127,0.7275
BeiDou,Urban Canyon,37.72,30.89,4,5.587,4.7852,0.5984
GLONASS,Urban Canyon,13.37,30.81,7,7.906,6.7465,0.8411
GLONASS,Urban Canyon,41.52,39.85,11,2.936,3.2569,0.8019
BeiDou,Open Sky,41.09,41.99,12,1.404,2.8637,0.2782
GPS,Open Sky,52.69,48.95,15,1.404,1.6509,0.2725
GPS,Urban Canyon,32.96,33.53,4,2.278,4.7534,0.2462
GPS,Open Sky,54.34,42.97,9,1.673,1.6179,0.0188
Galileo,Open Sky,48.49,49.54,11,1.47,1.3271,0.1294
GLONASS,Open Sky,42.03,34.85,11,1.033,1.8476,0.1691
GLONASS,Urban Canyon,32.18,36.93,4,2.183,3.3208,0.3285
BeiDou,Open Sky,46.76,35.99,8,1.46,1.4725,0.166
GPS,Open Sky,32.32,40.24,8,1.294,1.0326,0.1473
GLONASS,Open Sky,42.13,45.38,10,1.609,1.9369,0.1126
GPS,Open Sky,19.19,41.06,10,2.112,1.4015,0.1572
GPS,Urban Canyon,24.21,34.92,8,2.44,2.649,0.4991
GLONASS,Open Sky,47.27,38.93,11,2.048,2.2269,0.0091
BeiDou,Urban Canyon,13.56,41.39,8,1.747,4.5886,0.4455
GLONASS,Urban Canyon,17.23,29.79,4,1.864,4.7563,0.7402
GPS,Open Sky,66.52,35.75,10,2.059,1.0914,0.0449
GLONASS,Urban Canyon,26.49,38.04,11,3.586,5.2361,0.7104
GPS,Urban Canyon,10.62,36.81,7,5.087,4.9366,0.8027
BeiDou,Urban Canyon,33.19,36.24,8,2.734,6.0317,0.4783
GLONASS,Open Sky,53.54,49.96,9,3.144,2.4672,0.2616
GPS,Open Sky,41.09,35.85,12,1.856,2.1911,0.1758
GPS,Urban Canyon,18.29,27.72,8,3.256,2.7064,0.4268
GPS,Urban Canyon,26.01,40.85,6,3.052,5.9417,0.608
BeiDou,Urban Canyon,6.84,47.31,5,4.361,4.8699,0.5467
Galileo,Urban Canyon,23.92,37.61,6,3.208,2.2272,0.6
GLONASS,Open Sky,34.93,38.97,11,1.708,1.1589,0.1979
GLONASS,Urban Canyon,37.54,39.77,9,3.491,3.3407,0.4889
Galileo,Open Sky,69.3,44.79,10,1.524,1.014,0.0893
GPS,Urban Canyon,37.95,27.64,6,4.781,6.1574,0.8525
BeiDou,Open Sky,56.18,41.23,12,2.316,0.6133,0.0563
GPS,Open Sky,44.87,41.02,12,1.683,0.1,0.0967
Galileo,Urban Canyon,35.19,37.58,8,2.719,2.9391,0.7861
GLONASS,Urban Canyon,43.03,30.13,7,2.728,3.5908,0.5278
GLONASS,Urban Canyon,34.24,25.81,5,5.046,7.1847,0.7924
BeiDou,Open Sky,32.86,38.68,9,1.797,0.1,0.1519
GPS,Open Sky,33.66,38.41,12,2.026,1.5716,0.0236
Galileo,Urban Canyon,5.0,26.24,5,3.957,3.4351,0.7385
Galileo,Open Sky,36.53,49.17,11,1.672,0.1,0.0147
Galileo,Open Sky,37.45,41.47,11,1.217,3.516,0.1681
GPS,Urban Canyon,25.47,30.48,5,2.865,3.4458,0.7525
GPS,Open Sky,28.83,44.42,16,1.593,1.6602,0.1553
GPS,Urban Canyon,15.88,46.25,8,2.942,2.8446,0.4828
GPS,Open Sky,65.71,44.73,13,1.496,0.1,0.1541
Galileo,Urban Canyon,29.44,29.97,7,4.067,4.2171,0.5503
GLONASS,Urban Canyon,59.42,32.02,7,3.625,6.1116,0.752
GLONASS,Urban Canyon,43.26,36.07,9,4.566,4.8848,0.5461
Galileo,Urban Canyon,16.45,26.29,9,3.426,4.2765,0.5767
Galileo,Open Sky,61.22,40.21,9,1.754,0.1,0.0077
GPS,Urban Canyon,31.99,34.49,9,2.93,4.1809,0.3672
Galileo,Urban Canyon,23.05,33.07,12,3.479,3.4886,0.6116
GPS,Urban Canyon,40.44,30.52,5,3.424,4.5616,0.3471
GPS,Urban Canyon,13.26,34.29,7,6.199,5.2518,0.3713
Galileo,Urban Canyon,29.94,25.81,8,3.515,4.2259,0.8806
Galileo,Urban Canyon,8.37,35.13,4,4.064,5.6019,0.6527
GPS,Urban Canyon,42.48,30.93,7,3.832,4.81,0.7489
Galileo,Open Sky,45.46,46.67,6,1.759,0.8235,0.1006
Galileo,Open Sky,50.71,46.04,12,3.11,0.1,0.0898
GLONASS,Urban Canyon,33.14,34.72,4,4.256,6.3099,0.5432
GLONASS,Open Sky,61.96,40.27,10,1.538,0.1,0.0608
GLONASS,Urban Canyon,20.94,33.29,5,5.031,6.4763,0.5658
GPS,Urban Canyon,37.85,33.05,8,3.132,4.168,0.7075
GLONASS,Open Sky,54.93,38.77,11,1.271,2.6115,0.3376
Galileo,Urban Canyon,33.8,32.85,4,2.901,3.3789,0.6564
Galileo,Urban Canyon,36.04,41.26,7,2.6,4.8353,0.7234
GLONASS,Urban Canyon,23.7,29.07,10,5.101,5.6013,0.4299
Galileo,Open Sky,34.38,42.56,10,2.296,0.8334,0.2725
Galileo,Urban Canyon,19.6,27.99,7,6.094,4.6999,0.2983
GLONASS,Open Sky,35.49,35.11,10,1.032,1.5211,0.1126
BeiDou,Urban Canyon,18.38,43.11,4,5.001,5.4544,0.73
BeiDou,Open Sky,51.0,48.37,11,1.721,1.8819,0.0798
Galileo,Urban Canyon,11.71,30.12,9,3.842,3.9124,0.2179
Galileo,Urban Canyon,29.94,26.8,7,2.757,3.5863,0.7365
GLONASS,Urban Canyon,32.54,32.46,8,4.212,5.3732,0.852
GPS,Open Sky,64.65,40.37,10,1.158,1.321,0.1346
BeiDou,Urban Canyon,8.23,40.97,7,4.506,5.6526,0.8294
Galileo,Urban Canyon,14.64,29.45,9,2.794,5.0584,0.4944
GPS,Open Sky,34.94,42.0,13,2.444,0.6012,0.0171
GPS,Urban Canyon,7.3,38.1,10,2.97,4.8256,0.4437
BeiDou,Urban Canyon,39.48,31.38,8,3.249,4.5171,0.5962
GPS,Urban Canyon,40.43,39.62,7,2.917,4.7679,0.8099
GPS,Urban Canyon,31.49,36.55,8,8.0,7.3811,0.5838
GPS,Urban Canyon,12.12,32.69,6,3.889,5.209,0.669
GPS,Urban Canyon,48.74,31.06,5,3.35,5.1511,0.4663
GPS,Urban Canyon,35.05,29.21,7,3.546,3.1586,0.6052
GLONASS,Open Sky,40.83,40.99,10,2.076,3.3307,0.1998
GPS,Open Sky,52.49,39.82,12,2.282,1.8106,0.1284
BeiDou,Urban Canyon,44.19,40.23,7,2.308,3.7077,0.6126
BeiDou,Open Sky,61.81,42.4,9,1.159,2.6724,0.1979
Galileo,Urban Canyon,19.79,34.2,6,2.556,3.8029,0.6769
GPS,Open Sky,29.38,46.12,12,1.323,1.6869,0.0265
GLONASS,Open Sky,36.7,38.3,13,1.62,1.2442,0.1822
GPS,Open Sky,42.43,32.68,10,2.28,2.0008,0.2601
Galileo,Open Sky,52.84,40.18,14,1.145,0.1,0.0967
BeiDou,Open Sky,32.36,47.27,12,2.83,2.1602,0.0457
BeiDou,Open Sky,33.08,44.31,10,2.628,2.8356,0.1452
GLONASS,Urban Canyon,26.82,36.11,6,2.348,4.724,0.5453
GPS,Open Sky,40.17,35.06,14,1.656,2.7202,0.2768
GLONASS,Open Sky,61.29,39.68,11,1.949,1.9632,0.1596
GLONASS,Open Sky,23.13,46.22,12,1.249,0.6766,0.108
Galileo,Open Sky,48.72,45.39,14,3.039,2.4974,0.277
GLONASS,Open Sky,19.85,39.5,11,1.965,2.8205,0.004
GPS,Urban Canyon,34.03,37.67,11,5.691,3.0721,0.8333
GPS,Urban Canyon,22.58,35.11,5,2.843,3.4133,0.8534
Galileo,Open Sky,46.51,41.0,7,2.207,3.2148,0.1862
GPS,Urban Canyon,36.28,38.6,6,3.498,5.7539,0.6561
GPS,Open Sky,44.59,44.87,14,1.486,2.663,0.2456
BeiDou,Open Sky,59.92,38.16,9,1.475,2.1812,0.4765
BeiDou,Urban Canyon,40.17,35.9,6,3.41,5.2316,0.6499
Galileo,Open Sky,62.33,43.49,13,1.352,0.8444,0.2294
BeiDou,Urban Canyon,5.0,29.38,5,3.344,3.7588,0.8953
BeiDou,Open Sky,42.26,37.21,11,1.205,0.4246,0.1775
GPS,Open Sky,39.93,36.0,12,1.193,2.1607,0.042
Galileo,Open Sky,46.73,42.3,12,1.341,1.0531,0.1469
Galileo,Open Sky,54.63,44.68,12,2.354,1.9403,0.2154
GPS,Urban Canyon,25.53,28.32,8,2.94,5.374,0.3041
GLONASS,Open Sky,40.08,40.4,15,1.0,1.543,0.2486
Galileo,Urban Canyon,16.86,28.82,6,6.698,5.279,0.5054
Galileo,Urban Canyon,24.9,32.63,4,2.866,3.7529,0.5732
GPS,Urban Canyon,15.35,45.79,11,3.319,4.2237,0.3816
GPS,Open Sky,52.81,41.96,12,3.251,1.3418,0.1034
BeiDou,Open Sky,38.6,37.65,9,1.547,1.2164,0.0729
GPS,Open Sky,34.2,47.94,9,1.665,2.4038,0.0364
GPS,Urban Canyon,24.87,46.99,7,5.025,5.1392,0.4542
GPS,Open Sky,47.09,43.41,11,1.269,1.7331,0.0371
Galileo,Urban Canyon,21.7,38.34,4,1.5,3.1868,0.3558
Galileo,Urban Canyon,13.87,42.91,8,2.916,3.5138,0.4812
Galileo,Open Sky,34.84,39.85,8,1.664,3.2077,0.3154
GPS,Urban Canyon,24.89,40.47,6,3.501,3.8651,0.6666
GPS,Open Sky,61.43,44.83,9,1.786,1.7689,0.2717
BeiDou,Urban Canyon,13.49,37.84,9,6.429,6.4833,0.7503
GLONASS,Open Sky,71.63,40.69,9,1.939,2.358,0.2323
GLONASS,Urban Canyon,10.4,38.67,5,4.015,5.9643,0.6907
GLONASS,Urban Canyon,25.2,25.28,12,6.986,6.5322,0.5401
GLONASS,Urban Canyon,25.16,35.37,9,1.772,4.5389,0.8146
GPS,Open Sky,5.55,42.4,11,1.813,2.1024,0.0694
Galileo,Urban Canyon,51.31,29.96,6,3.211,5.7919,0.4129
Galileo,Open Sky,13.86,46.81,11,2.439,0.2559,0.1409
GPS,Urban Canyon,27.97,44.19,11,2.458,2.3768,0.5787
BeiDou,Open Sky,69.64,44.16,12,2.053,0.9868,0.3421
Galileo,Open Sky,31.78,44.69,11,1.937,1.3462,0.1166
GLONASS,Open Sky,68.32,38.57,10,2.396,3.4123,0.1218
BeiDou,Open Sky,73.88,42.11,9,2.494,3.1878,0.1606
Galileo,Open Sky,56.73,38.31,12,2.783,1.487,0.4258
BeiDou,Urban Canyon,30.86,36.56,9,2.409,5.2022,0.5746
Galileo,Open Sky,47.49,36.39,10,1.938,1.9384,0.1722
BeiDou,Urban Canyon,27.25,37.15,5,2.098,3.9221,0.9082
GPS,Open Sky,50.18,50.41,13,1.339,0.1,0.0584
Galileo,Urban Canyon,41.04,35.92,8,8.0,6.279,0.7387
Galileo,Urban Canyon,42.65,31.76,6,5.761,3.9141,0.6406
GPS,Open Sky,62.37,42.92,11,1.519,0.7019,0.3
Galileo,Urban Canyon,35.48,37.93,9,3.512,4.0214,0.4541
BeiDou,Urban Canyon,31.08,30.71,6,2.607,3.8436,0.7534
GLONASS,Urban Canyon,28.64,33.46,6,4.063,4.9298,0.7085
GPS,Open Sky,25.22,35.85,10,1.086,3.2095,0.1572
GPS,Open Sky,51.44,40.53,11,2.019,1.6444,0.4175
GPS,Urban Canyon,40.89,32.68,5,2.134,3.2483,0.8182
GPS,Open Sky,43.07,50.84,13,1.572,0.7826,0.4461
BeiDou,Urban Canyon,24.31,36.29,7,2.178,2.9333,0.697
Galileo,Open Sky,66.32,42.22,12,1.427,0.5078,0.1472
GPS,Urban Canyon,21.24,34.53,8,3.171,3.5178,0.9553
Galileo,Open Sky,44.27,40.24,10,2.562,0.9943,0.074
GPS,Open Sky,49.6,37.38,11,1.319,1.5209,0.02
GPS,Urban Canyon,15.45,45.93,6,4.362,4.0311,0.2359
GLONASS,Urban Canyon,5.0,41.12,4,3.116,5.5979,0.7612
GLONASS,Urban Canyon,5.0,30.8,7,2.054,3.9075,0.6474
BeiDou,Urban Canyon,11.5,35.72,6,1.845,2.2361,0.5702
GLONASS,Open Sky,32.88,37.07,11,2.192,2.5403,0.0793
Galileo,Open Sky,41.63,34.88,10,2.011,2.384,0.2658
GLONASS,Open Sky,20.79,45.31,8,1.716,2.8148,0.0046
BeiDou,Open Sky,66.66,39.75,11,1.458,1.253,0.3233
GLONASS,Open Sky,42.37,41.48,9,1.588,0.5335,0.0342
BeiDou,Urban Canyon,20.55,27.14,5,6.791,5.2445,0.7797
GLONASS,Open Sky,50.95,45.19,14,2.509,2.8742,0.219
BeiDou,Open Sky,47.64,44.0,10,2.048,0.1,0.0335
GPS,Open Sky,48.03,42.87,15,1.23,0.3031,0.249
GLONASS,Open Sky,45.59,35.57,13,2.219,2.0019,0.1529
Galileo,Open Sky,24.42,38.48,11,1.942,0.8221,0.1295
Galileo,Urban Canyon,50.84,33.94,6,4.212,5.3109,0.7089
GLONASS,Open Sky,35.77,37.13,7,1.532,2.0341,0.1875
BeiDou,Urban Canyon,13.72,34.61,6,2.336,4.1261,0.764
BeiDou,Urban Canyon,18.86,31.88,9,1.615,4.4412,0.7089
GPS,Urban Canyon,18.34,30.29,9,2.157,3.5858,0.7099
GLONASS,Urban Canyon,33.55,36.13,7,2.569,5.8234,0.5532
GLONASS,Open Sky,43.85,40.7,12,1.726,0.3755,0.0122
GPS,Open Sky,27.83,39.76,9,1.985,3.0733,0.3193
GPS,Open Sky,24.67,38.62,14,2.109,0.9418,0.2124
GPS,Urban Canyon,23.05,25.8,8,4.452,5.0786,0.591
GLONASS,Urban Canyon,5.0,38.97,8,4.598,6.2114,0.7221
Galileo,Open Sky,76.17,34.02,10,1.437,0.8688,0.081
BeiDou,Open Sky,31.21,47.65,12,1.48,0.1,0.0352
Galileo,Urban Canyon,14.81,28.8,4,2.362,3.9319,0.3122
BeiDou,Urban Canyon,31.37,33.81,8,4.171,5.3579,0.526
Galileo,Urban Canyon,14.71,37.23,4,2.646,4.3949,0.6039
GLONASS,Urban Canyon,40.3,32.48,9,3.708,5.3147,0.4222
GPS,Urban Canyon,32.54,34.51,5,4.135,5.6682,0.5235
Galileo,Urban Canyon,30.26,41.55,6,3.887,4.7406,0.7524
BeiDou,Open Sky,56.84,41.96,10,2.626,2.2243,0.0434
BeiDou,Open Sky,36.6,42.44,12,1.543,1.491,0.3756
BeiDou,Urban Canyon,49.9,30.85,10,2.38,4.5722,0.5814
GPS,Urban Canyon,36.78,38.68,6,4.216,4.364,0.7969
Galileo,Open Sky,45.28,46.59,10,1.203,0.1,0.0572
GPS,Urban Canyon,29.31,37.85,7,3.091,3.538,0.6641
GPS,Open Sky,53.5,40.86,11,3.843,2.5862,0.0921
GLONASS,Urban Canyon,35.67,43.76,9,1.96,5.3124,0.3098
GLONASS,Open Sky,59.93,44.1,9,2.438,2.2308,0.0673
GLONASS,Urban Canyon,19.95,34.92,5,3.616,5.9636,0.6419
BeiDou,Open Sky,72.84,36.83,10,2.178,2.1012,0.0473
GLONASS,Open Sky,43.62,42.27,11,1.569,1.5788,0.0216
BeiDou,Open Sky,34.94,37.37,7,1.669,2.5672,0.0915
GPS,Urban Canyon,29.76,25.8,8,3.339,3.8491,0.7863
GPS,Open Sky,23.7,42.11,9,2.066,1.003,0.0822
GLONASS,Open Sky,48.03,43.05,11,1.423,1.4632,0.2105
BeiDou,Urban Canyon,29.18,28.26,6,7.191,7.2552,0.6482
GPS,Open Sky,44.26,47.63,11,3.075,1.9231,0.1799
Galileo,Open Sky,16.6,36.92,11,1.762,1.5973,0.0706
GLONASS,Open Sky,72.86,44.58,13,2.758,2.3533,0.053
GPS,Urban Canyon,14.8,32.02,10,3.199,3.8938,0.8838
Galileo,Open Sky,23.14,40.53,11,2.116,0.6269,0.393
BeiDou,Open Sky,26.83,34.33,12,3.17,0.1,0.1296
GLONASS,Open Sky,67.7,41.64,8,1.625,3.2627,0.0937
GPS,Open Sky,70.75,44.98,13,3.751,2.2555,0.1263
BeiDou,Open Sky,20.62,43.17,8,1.034,1.5306,0.1536
GPS,Open Sky,51.62,45.59,11,1.362,0.3467,0.0256
BeiDou,Open Sky,24.01,38.05,10,1.516,1.3681,0.1524
GPS,Open Sky,32.31,39.55,10,2.451,2.8622,0.0419
Galileo,Urban Canyon,30.71,26.77,8,5.564,5.7691,0.8377
Galileo,Open Sky,40.29,39.66,8,1.378,1.0147,0.0669
GPS,Open Sky,28.77,43.74,11,1.63,1.4172,0.0662
BeiDou,Urban Canyon,58.63,38.33,7,2.047,3.9973,0.2703
GPS,Urban Canyon,33.13,42.64,5,2.471,3.9613,0.7961
GPS,Urban Canyon,32.02,41.26,6,2.281,4.0548,0.9376
GPS,Open Sky,47.88,41.56,8,1.618,0.7103,0.0272
GLONASS,Open Sky,28.37,45.79,10,2.761,1.6893,0.0331
BeiDou,Open Sky,45.13,42.93,10,1.363,0.1,0.2443
BeiDou,Open Sky,54.09,42.64,13,2.009,1.1812,0.1226
GPS,Open Sky,75.26,40.49,14,2.051,1.0832,0.3655
Galileo,Urban Canyon,41.82,34.01,4,3.541,3.7611,0.6943
GPS,Open Sky,38.18,50.42,10,1.825,0.815,0.3367
Galileo,Urban Canyon,41.08,40.52,5,3.577,4.8056,0.6028
BeiDou,Open Sky,41.16,34.82,11,1.614,1.8187,0.0451
GLONASS,Open Sky,33.24,40.36,11,1.839,2.2795,0.1782
Galileo,Urban Canyon,24.65,47.11,7,3.293,3.3512,0.4911
Galileo,Urban Canyon,22.44,30.08,4,2.891,4.7879,0.5273
BeiDou,Open Sky,44.83,41.61,11,3.142,1.3909,0.3846
Galileo,Urban Canyon,34.79,37.07,7,4.207,4.6259,0.5187
GPS,Open Sky,39.75,36.49,14,1.493,1.1884,0.0498
Galileo,Open Sky,51.37,42.93,12,1.873,1.6606,0.332
GPS,Urban Canyon,46.24,26.1,9,1.868,4.3548,0.5407
GPS,Open Sky,42.82,37.57,10,1.212,1.5246,0.047
GPS,Open Sky,24.04,45.35,9,1.718,1.5293,0.1546
Galileo,Open Sky,35.52,36.19,13,1.423,0.1,0.2542
GLONASS,Open Sky,18.15,41.5,12,1.27,2.3821,0.1175
GPS,Open Sky,39.74,43.84,13,2.46,2.2355,0.5483
Galileo,Open Sky,68.84,44.7,7,2.067,0.7815,0.2252
BeiDou,Urban Canyon,15.29,36.59,8,4.264,5.1366,0.5607
GLONASS,Urban Canyon,47.75,35.54,12,2.233,4.9864,0.7788
Galileo,Open Sky,30.97,46.75,11,1.265,2.6284,0.314
GPS,Open Sky,51.83,33.38,10,1.454,0.6965,0.1542
BeiDou,Urban Canyon,23.0,33.16,6,6.162,5.6055,0.5154
GPS,Open Sky,46.09,35.58,11,1.221,0.5673,0.0703
GPS,Open Sky,44.77,45.83,9,1.834,1.8908,0.1215
BeiDou,Urban Canyon,52.93,35.05,10,2.304,4.4252,0.6977
Galileo,Open Sky,55.84,35.15,10,1.417,1.5461,0.1539
GLONASS,Open Sky,47.13,42.33,14,1.645,1.917,0.1463
Galileo,Open Sky,46.62,41.42,9,1.535,1.1807,0.3647
GLONASS,Open Sky,60.68,45.09,8,1.326,1.3846,0.1192
GPS,Open Sky,17.15,41.49,10,1.431,2.0298,0.3515
GPS,Urban Canyon,21.69,35.67,6,2.216,4.6284,0.4986
GPS,Open Sky,20.06,41.64,13,1.411,0.6121,0.1851
GPS,Urban Canyon,5.0,41.62,9,2.28,4.3989,0.4912
BeiDou,Urban Canyon,12.69,29.89,8,3.876,7.1007,0.8407
GPS,Open Sky,46.28,44.2,10,1.673,0.1,0.0224
Galileo,Open Sky,42.43,47.15,11,1.642,0.1,0.1161
GLONASS,Open Sky,38.22,38.85,10,1.85,3.1076,0.1798
GLONASS,Urban Canyon,5.0,31.95,7,3.651,5.0713,0.7556
Galileo,Open Sky,37.23,46.37,9,2.405,1.7088,0.0809
Galileo,Urban Canyon,17.73,41.82,7,2.833,3.2932,0.6734
BeiDou,Urban Canyon,37.87,38.3,5,2.67,4.845,0.6818
GLONASS,Urban Canyon,28.29,33.15,8,6.758,6.3345,0.7591
BeiDou,Urban Canyon,25.26,40.07,7,2.543,4.4873,0.606
BeiDou,Urban Canyon,50.27,30.38,10,2.841,2.5759,0.6037
GLONASS,Urban Canyon,23.67,31.36,4,3.983,5.7434,0.7034
GPS,Urban Canyon,38.88,26.42,6,3.641,4.5944,0.6241
Galileo,Urban Canyon,13.3,35.67,10,6.122,5.4772,0.6364
GPS,Urban Canyon,28.19,31.65,5,5.35,5.3042,0.7676
GLONASS,Urban Canyon,34.69,35.06,8,5.75,6.8396,0.3007
BeiDou,Open Sky,53.21,43.23,11,2.199,1.3115,0.2081
Galileo,Urban Canyon,37.55,31.33,4,5.494,5.7029,0.3334
Galileo,Open Sky,40.92,36.46,9,1.564,1.2664,0.0389
GPS,Urban Canyon,30.21,37.5,6,3.996,5.342,0.5732
BeiDou,Open Sky,56.17,40.74,9,1.214,0.5702,0.0224
GPS,Urban Canyon,38.18,39.74,8,4.794,4.5355,0.706
GPS,Urban Canyon,32.78,38.0,9,2.999,3.6394,0.9372
GPS,Urban Canyon,9.97,26.15,5,3.172,5.4575,0.5737
GPS,Open Sky,43.53,44.43,11,1.098,2.0874,0.1621
Galileo,Urban Canyon,14.43,29.85,7,2.728,4.1661,0.2415
Galileo,Urban Canyon,20.02,37.19,7,1.656,4.6095,0.7978
GPS,Urban Canyon,38.26,30.66,7,3.223,3.9489,0.2664
GPS,Urban Canyon,46.28,32.18,6,3.799,3.6103,0.2528
GPS,Urban Canyon,30.71,31.24,7,2.229,6.0192,0.6101
Galileo,Urban Canyon,35.63,30.12,5,2.518,4.4115,0.6838
GPS,Open Sky,35.03,44.2,11,3.996,3.2442,0.0235
GLONASS,Urban Canyon,25.87,38.87,8,3.516,5.4611,0.4027
GPS,Open Sky,26.97,45.12,12,1.291,0.9605,0.1673
GPS,Urban Canyon,31.12,31.64,8,7.364,4.7289,0.6367
Galileo,Urban Canyon,41.09,39.5,7,3.461,2.8668,0.7735
Galileo,Open Sky,52.92,42.58,14,1.649,0.5144,0.0607
GPS,Open Sky,21.04,41.28,12,2.101,1.3671,0.2789
GPS,Open Sky,60.88,43.02,12,1.661,2.2027,0.2038
BeiDou,Urban Canyon,34.04,32.25,7,4.055,2.4249,0.5142
GPS,Open Sky,28.14,40.81,9,2.955,2.4431,0.1264
Galileo,Open Sky,39.34,45.28,13,3.284,2.1579,0.1767
Galileo,Urban Canyon,24.45,35.34,5,5.112,5.2024,0.414
GPS,Open Sky,41.2,43.03,9,2.024,2.3457,0.1938
Galileo,Urban Canyon,44.56,40.74,9,3.258,4.6469,0.7627
GLONASS,Open Sky,66.4,40.72,13,2.67,3.1158,0.0984
BeiDou,Open Sky,85.0,38.74,11,1.693,1.2951,0.3098
GPS,Open Sky,29.53,43.1,8,1.884,1.4754,0.1885
GPS,Open Sky,34.56,41.69,14,2.33,3.1294,0.1285
GPS,Open Sky,53.29,48.86,11,1.076,2.6326,0.3608
Galileo,Urban Canyon,22.8,45.59,8,2.559,3.3965,0.8379
GLONASS,Open Sky,35.46,44.99,11,1.294,1.8032,0.0974
GPS,Open Sky,53.69,37.44,10,1.759,0.6674,0.1638
GPS,Open Sky,40.87,47.99,11,1.656,0.7151,0.2378
BeiDou,Open Sky,32.88,41.33,11,1.318,0.8949,0.4311
GPS,Urban Canyon,25.03,26.62,5,4.998,6.767,0.7075
Galileo,Open Sky,58.87,44.94,11,1.11,0.1,0.0618
GLONASS,Urban Canyon,24.04,35.65,5,2.849,4.9452,0.2609
GPS,Open Sky,76.02,38.69,14,1.921,0.6822,0.1858
GPS,Open Sky,32.11,51.25,10,1.672,0.1,0.0393
GPS,Open Sky,45.98,48.88,12,1.273,0.4504,0.3767
BeiDou,Open Sky,19.16,36.05,8,1.64,3.3515,0.1612
GPS,Urban Canyon,44.82,27.17,10,3.072,4.6047,0.6729
GPS,Open Sky,55.55,34.72,10,1.607,2.7937,0.1511
GPS,Open Sky,48.67,44.88,11,1.269,1.3532,0.066
GPS,Urban Canyon,5.05,45.86,8,4.096,4.0672,0.7992
GLONASS,Urban Canyon,38.74,38.38,9,3.494,3.8086,0.6956
GPS,Urban Canyon,21.49,34.62,7,5.847,5.964,0.5167
Galileo,Urban Canyon,9.45,32.87,4,3.931,4.721,0.7279
Galileo,Urban Canyon,43.91,28.44,6,2.624,3.6734,0.7549
BeiDou,Urban Canyon,31.05,37.01,8,3.589,4.6613,0.737
GPS,Urban Canyon,37.42,28.1,8,4.645,3.4351,0.2126
BeiDou,Open Sky,34.65,39.01,12,2.176,1.4786,0.1264
GLONASS,Urban Canyon,8.6,37.45,7,2.313,5.0515,0.7089
GPS,Open Sky,46.84,40.83,13,2.533,1.1606,0.1343
GLONASS,Urban Canyon,15.37,34.75,5,2.789,6.7099,0.1604
